Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C313	E105	8-cell	0	WGS	Run3B	No	1	EK171124_B_025
C314	E106	8-cell	0	WGS	Run3B	No	3	EK171124_B_026
C315	E106	8-cell	0	WGS	Run3B	No	6	EK171124_B_027
C316	E106	8-cell	0	WGS	Run3B	No	4	EK171124_B_028
C317	E106	8-cell	0	WGS	Run3B	No	5	EK171124_B_029
C318	E106	8-cell	0	WGS	Run3B	No	1	EK171124_B_030
C319	E106	8-cell	0	WGS	Run3B	No	7	EK171124_B_031
C320	E106	8-cell	0	WGS	Run3B	No	8	EK171124_B_032
C321	E107	8-cell	0	WGS	Run3B	No	2	EK171124_B_033
C322	E107	8-cell	0	WGS	Run3B	No	2	EK171124_B_034
C323	E107	8-cell	0	WGS	Run3B	No	4	EK171124_B_035
C324	E107	8-cell	0	WGS	Run3B	No	6	EK171124_B_036
C325	E107	8-cell	0	WGS	Run3B	No	7	EK171124_B_037
C326	E107	8-cell	0	WGS	Run3B	No	1	EK171124_B_038
C327	E107	8-cell	0	WGS	Run3B	No	3	EK171124_B_039
C328	E107	8-cell	0	WGS	Run3B	No	5	EK171124_B_040
C329	E108	8-cell	0	WGS	Run3B	No	8	EK171124_B_041
C330	E108	8-cell	0	WGS	Run3B	No	1	EK171124_B_042
C331	E108	8-cell	0	WGS	Run3B	No	6	EK171124_B_043
C332	E108	8-cell	0	WGS	Run3B	No	2	EK171124_B_044
C333	E108	8-cell	0	WGS	Run3B	No	3	EK171124_B_045
C334	E108	8-cell	0	WGS	Run3B	No	4	EK171124_B_046
C335	E108	8-cell	0	WGS	Run3B	No	5	EK171124_B_047
C336	E108	8-cell	0	WGS	Run3B	No	7	EK171124_B_048
C337	E109	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_049
C338	E109	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_050
C339	E109	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_051
C340	E109	8-cell	2.5	WGS	Run3B	No	3	EK171124_B_052
C341	E109	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_053
C342	E109	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_054
C343	E109	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_055
C344	E110	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_056
C345	E110	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_057
C346	E110	8-cell	2.5	WGS	Run3B	No	3	EK171124_B_058
C347	E110	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_059
C348	E110	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_060
C349	E110	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_061
C350	E110	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_062
C351	E111	8-cell	2.5	WGS	Run3B	No	1	EK171124_B_063
C352	E111	8-cell	2.5	WGS	Run3B	No	6	EK171124_B_064
C353	E111	8-cell	2.5	WGS	Run3B	No	2	EK171124_B_065
C354	E111	8-cell	2.5	WGS	Run3B	No	7	EK171124_B_066
C355	E111	8-cell	2.5	WGS	Run3B	No	3	EK171124_B_067
C356	E111	8-cell	2.5	WGS	Run3B	No	9	EK171124_B_068
C357	E111	8-cell	2.5	WGS	Run3B	No	5	EK171124_B_069
C358	E111	8-cell	2.5	WGS	Run3B	No	4	EK171124_B_070
C359	E111	8-cell	2.5	WGS	Run3B	No	8	EK171124_B_071
